"Year","Team","GP","W","L","Tie","Pts","GF","GA","PIM","Att.","Coach","Playoff","OTL","SOL"
1918,"Montreal Canadiens",22,13,9,0,26,115,84,0,NA,"","Lost in Finals",NA,NA
1918,"Toronto Arenas",22,13,9,0,26,108,109,0,NA,"Dick Carroll","Lost in round S",NA,NA
1918,"Ottawa Senators",22,9,13,0,18,102,114,0,NA,"","Out of Playoffs",NA,NA
1918,"Montreal Wanderers",6,1,5,0,2,17,35,0,NA,"","Out of Playoffs",NA,NA
1919,"Ottawa Senators",18,12,6,0,24,71,54,192,NA,"","Lost in Finals",NA,NA
1919,"Montreal Canadiens",18,10,8,0,20,88,78,257,NA,"","Lost in round S",NA,NA
1919,"Toronto Arenas",18,5,13,0,10,65,92,262,NA,"Dick Carroll","Out of Playoffs",NA,NA
1920,"Ottawa Senators",24,19,5,0,38,121,64,237,NA,"","Lost in round S",NA,NA
1920,"Montreal Canadiens",24,13,11,0,26,129,113,221,NA,"","Out of Playoffs",NA,NA
1920,"Toronto St. Pats",24,12,12,0,24,119,106,219,NA,"","Out of Playoffs",NA,NA
1920,"Quebec Bulldogs",24,4,20,0,8,91,177,114,NA,"","Out of Playoffs",NA,NA
1921,"Toronto St. Pats",24,15,9,0,30,105,100,254,NA,"Frank Carroll","Lost in Finals",NA,NA
1921,"Ottawa Senators",24,14,10,0,28,97,75,151,NA,"","Won Championship",NA,NA
1921,"Montreal Canadiens",24,13,11,0,26,112,99,315,NA,"","Out of Playoffs",NA,NA
1921,"Hamilton Tigers",24,6,18,0,12,92,132,154,NA,"","Out of Playoffs",NA,NA
1922,"Ottawa Senators",24,14,8,2,30,106,84,99,NA,"","Lost in Finals",NA,NA
1922,"Toronto St. Pats",24,13,10,1,27,98,97,114,NA,"","Won Championship",NA,NA
1922,"Montreal Canadiens",24,12,11,1,25,88,94,174,NA,"Leo Dandurand","Out of Playoffs",NA,NA
1922,"Hamilton Tigers",24,7,17,0,14,88,105,76,NA,"","Out of Playoffs",NA,NA
1923,"Ottawa Senators",24,14,9,1,29,77,54,188,NA,"","Won Championship",NA,NA
1923,"Montreal Canadiens",24,13,9,2,28,73,61,174,NA,"Leo Dandurand","Won Championship",NA,NA
1923,"Toronto St. Pats",24,13,10,1,27,82,88,200,NA,"","Out of Playoffs",NA,NA
1923,"Hamilton Tigers",24,6,18,0,12,81,110,182,NA,"","Out of Playoffs",NA,NA
1924,"Ottawa Senators",24,16,8,0,32,74,54,154,NA,"","Lost in Finals",NA,NA
1924,"Montreal Canadiens",24,13,11,0,26,59,48,144,NA,"Leo Dandurand","Won Championship",NA,NA
1924,"Toronto St. Pats",24,10,14,0,20,59,85,178,NA,"","Out of Playoffs",NA,NA
1924,"Hamilton Tigers",24,9,15,0,18,63,68,83,NA,"","Out of Playoffs",NA,NA
1925,"Hamilton Tigers",30,19,10,1,39,90,60,332,NA,"James Gardner","Lost in Finals",NA,NA
1925,"Toronto St. Pats",30,19,11,0,38,90,84,249,NA,"","Lost in round 1",NA,NA
1925,"Montreal Canadiens",30,17,11,2,36,93,56,371,NA,"Leo Dandurand","Won Championship",NA,NA
1925,"Ottawa Senators",30,17,12,1,35,83,66,331,NA,"","Out of Playoffs",NA,NA
1925,"Montreal Maroons",30,9,19,2,20,45,65,264,NA,"","Out of Playoffs",NA,NA
1925,"Boston Bruins",30,6,24,0,12,49,119,264,NA,"Art Ross","Out of Playoffs",NA,NA
1926,"Ottawa Senators",36,24,8,4,52,77,42,341,NA,"Alex Curry","Lost in Finals",NA,NA
1926,"Montreal Maroons",36,20,11,5,45,91,73,554,NA,"","Won Championship",NA,NA
1926,"Pittsburgh Pirates",36,19,16,1,39,82,70,264,NA,"Odie Cleghorn","Lost in round 1",NA,NA
1926,"Boston Bruins",36,17,15,4,38,92,85,279,NA,"Art Ross","Out of Playoffs",NA,NA
1926,"New York Americans",36,12,20,4,28,68,89,361,11505,"","Out of Playoffs",NA,NA
1926,"Toronto St. Pats",36,12,21,3,27,92,114,325,NA,"","Out of Playoffs",NA,NA
1926,"Montreal Canadiens",36,11,24,1,23,79,108,458,NA,"Leo Dandurand","Out of Playoffs",NA,NA
1927,"New York Rangers",44,25,13,6,56,95,72,385,7091,"Lester Patrick","Lost in round 2",NA,NA
1927,"Boston Bruins",44,21,20,3,45,97,89,521,6045,"Art Ross","Lost in Finals",NA,NA
1927,"Chicago Blackhawks",44,19,22,3,41,115,116,448,3318,"Pete Muldoon","Lost in round 1",NA,NA
1927,"Pittsburgh Pirates",44,15,26,3,33,79,108,230,2045,"Odie Cleghorn","Out of Playoffs",NA,NA
1927,"Detroit Cougars",44,12,28,4,28,76,105,409,2182,"Duncan, Keats {+}","Out of Playoffs",NA,NA
1927,"Ottawa Senators",44,30,10,4,64,86,69,607,3719,"Dave Gill","Won Championship",NA,NA
1927,"Montreal Canadiens",44,28,14,2,58,99,67,395,8409,"Cecil Hart","Lost in round 2",NA,NA
1927,"Montreal Maroons",44,20,20,4,44,71,68,716,8364,"Eddie Gerard","Lost in round 1",NA,NA
1927,"New York Americans",44,17,25,2,36,82,91,349,5591,"Edward ""Newsy"" Lalonde","Out of Playoffs",NA,NA
1927,"Toronto St. Pats/Maple Leafs",44,15,24,5,35,79,94,546,4500,"","Out of Playoffs",NA,NA
1928,"Boston Bruins",44,20,13,11,51,77,70,558,6773,"Art Ross","Lost in round 2",NA,NA
1928,"New York Rangers",44,19,16,9,47,94,79,462,7545,"Lester Patrick","Won Championship",NA,NA
1928,"Pittsburgh Pirates",44,19,17,8,46,67,76,395,1818,"Odie Cleghorn","Lost in round 1",NA,NA
1928,"Detroit Cougars",44,19,19,6,44,88,79,395,6455,"Jack Adams","Out of Playoffs",NA,NA
1928,"Chicago Blackhawks",44,7,34,3,17,68,134,375,3318,"Stanley, Lehman {+}","Out of Playoffs",NA,NA
1928,"Montreal Canadiens",44,26,11,7,59,116,48,496,9955,"Cecil Hart","Lost in round 2",NA,NA
1928,"Montreal Maroons",44,24,14,6,54,96,77,549,8727,"Eddie Gerard","Lost in Finals",NA,NA
1928,"Ottawa Senators",44,20,14,10,50,78,57,483,4540,"Dave Gill","Lost in round 1",NA,NA
1928,"Toronto Maple Leafs",44,18,18,8,44,89,88,436,4591,"Conn Smythe","Out of Playoffs",NA,NA
1928,"New York Americans",44,11,27,6,28,63,128,563,5682,"Wilfred ""Shorty"" Green","Out of Playoffs",NA,NA
1929,"Boston Bruins",44,26,13,5,57,89,52,472,13387,"Cy Denneny","Won Championship",NA,NA
1929,"New York Rangers",44,21,13,10,52,72,65,384,8825,"Lester Patrick","Lost in Finals",NA,NA
1929,"Detroit Cougars",44,19,16,9,47,72,63,381,7635,"Jack Adams","Lost in round 1",NA,NA
1929,"Pittsburgh Pirates",44,9,27,8,26,46,80,324,2718,"Odie Cleghorn","Out of Playoffs",NA,NA
1929,"Chicago Blackhawks",44,7,29,8,22,33,85,363,3432,"Herb Gardiner","Out of Playoffs",NA,NA
1929,"Montreal Canadiens",44,22,7,15,59,71,43,465,9774,"Cecil Hart","Lost in round 1",NA,NA
1929,"New York Americans",44,19,13,12,50,53,53,486,7333,"Tommy Gorman","Lost in round 1",NA,NA
1929,"Toronto Maple Leafs",44,21,18,5,47,85,69,541,6748,"Conn Smythe","Lost in round 2",NA,NA
1929,"Ottawa Senators",44,14,17,13,41,54,67,461,4161,"Dave Gill","Out of Playoffs",NA,NA
1929,"Montreal Maroons",44,15,20,9,39,67,65,638,8940,"Eddie Gerard","Out of Playoffs",NA,NA
1930,"Boston Bruins",44,38,5,1,77,179,98,449,14096,"Art Ross","Lost in Finals",NA,NA
1930,"Chicago Blackhawks",44,21,18,5,47,117,111,573,NA,"Shaughnessy, Tobin {+}","Lost in round 1",NA,NA
1930,"New York Rangers",44,17,17,10,44,136,143,445,9789,"Lester Patrick","Lost in round 2",NA,NA
1930,"Detroit Cougars",44,14,24,6,34,117,133,474,NA,"Jack Adams","Out of Playoffs",NA,NA
1930,"Pittsburgh Pirates",44,5,36,3,13,102,185,384,NA,"Frank Frederickson","Out of Playoffs",NA,NA
1930,"Montreal Canadiens",44,21,14,9,51,142,114,600,NA,"","Won Championship",NA,NA
1930,"Montreal Maroons",44,23,16,5,51,141,114,651,NA,"","Lost in round 1",NA,NA
1930,"Ottawa Senators",44,21,15,8,50,138,118,536,NA,"","Lost in round 1",NA,NA
1930,"Toronto Maple Leafs",44,17,21,6,40,116,124,613,NA,"","Out of Playoffs",NA,NA
1930,"New York Americans",44,14,25,5,33,113,161,372,NA,"Lionel Conacher","Out of Playoffs",NA,NA
1931,"Boston Bruins",44,28,10,6,62,143,90,403,NA,"Art Ross","Lost in round 1",NA,NA
1931,"Chicago Blackhawks",44,24,17,3,51,108,78,416,NA,"Irvin, Tobin {+}","Lost in Finals",NA,NA
1931,"New York Rangers",44,19,16,9,47,106,87,514,NA,"Lester Patrick","Lost in round 2",NA,NA
1931,"Detroit Falcons",44,16,21,7,39,102,105,429,NA,"Jack Adams","Out of Playoffs",NA,NA
1931,"Philadelphia Quakers",44,4,36,4,12,76,184,477,NA,"Cooper Smeaton","Out of Playoffs",NA,NA
1931,"Montreal Canadiens",44,26,10,8,60,129,89,602,NA,"Cecil Hart","Won Championship",NA,NA
1931,"Toronto Maple Leafs",44,22,13,9,53,118,99,540,NA,"Smythe, Duncan {+}","Lost in round 1",NA,NA
1931,"New York Americans",44,18,16,10,46,76,74,495,NA,"Eddie Gerard","Out of Playoffs",NA,NA
1931,"Montreal Maroons",44,20,18,6,46,105,106,568,NA,"Boucher, Munro {+}","Lost in round 1",NA,NA
1931,"Ottawa Senators",44,10,30,4,24,91,142,486,NA,"Gill, Brunton {+}","Out of Playoffs",NA,NA
1932,"New York Rangers",48,23,17,8,54,134,112,511,NA,"Lester Patrick","Lost in Finals",NA,NA
1932,"Chicago Blackhawks",48,18,19,11,47,86,101,464,NA,"Irvin, Tobin {+}","Lost in round 1",NA,NA
1932,"Detroit Falcons",48,18,20,10,46,95,108,415,5425,"Jack Adams","Lost in round 1",NA,NA
1932,"Boston Bruins",48,15,21,12,42,122,117,373,12315,"Art Ross","Out of Playoffs",NA,NA
1932,"Montreal Canadiens",48,25,16,7,57,128,111,450,NA,"","Lost in round 1",NA,NA
1932,"Toronto Maple Leafs",48,23,18,7,53,155,127,625,NA,"Arthur Duncan","Won Championship",NA,NA
1932,"Montreal Maroons",48,19,22,7,45,142,139,593,NA,"Sprague Cleghorn","Lost in round 2",NA,NA
1932,"New York Americans",48,16,24,8,40,95,142,596,NA,"","Out of Playoffs",NA,NA
1933,"Boston Bruins",48,25,15,8,58,124,88,517,NA,"Art Ross","Lost in round 1",NA,NA
1933,"Detroit Red Wings",48,25,15,8,58,111,93,462,NA,"Jack Adams","Lost in round 2",NA,NA
1933,"New York Rangers",48,23,17,8,54,135,107,599,NA,"Lester Patrick","Won Championship",NA,NA
1933,"Chicago Blackhawks",48,16,20,12,44,88,101,401,NA,"Matheson, Iverson {+}","Out of Playoffs",NA,NA
1933,"Toronto Maple Leafs",48,24,18,6,54,119,111,622,NA,"","Lost in Finals",NA,NA
1933,"Montreal Maroons",48,22,20,6,50,135,119,442,NA,"","Lost in round 1",NA,NA
1933,"Montreal Canadiens",48,18,25,5,41,92,115,468,NA,"Edward ""Newsy"" Lalonde","Lost in round 1",NA,NA
1933,"New York Americans",48,15,22,11,41,91,118,460,NA,"","Out of Playoffs",NA,NA
1933,"Ottawa Senators",48,11,27,10,32,88,131,398,NA,"Cy Denneny","Out of Playoffs",NA,NA
1934,"Detroit Red Wings",48,24,14,10,58,113,98,368,NA,"Jack Adams","Lost in Finals",NA,NA
1934,"Chicago Blackhawks",48,20,17,11,51,88,83,337,NA,"Tommy Gorman","Won Championship",NA,NA
1934,"New York Rangers",48,21,19,8,50,120,113,401,NA,"Lester Patrick","Lost in round 1",NA,NA
1934,"Boston Bruins",48,18,25,5,41,111,130,385,NA,"Art Ross","Out of Playoffs",NA,NA
1934,"Toronto Maple Leafs",48,26,13,9,61,174,119,529,NA,"","Lost in round 1",NA,NA
1934,"Montreal Canadiens",48,22,20,6,50,99,101,308,NA,"","Lost in round 1",NA,NA
1934,"Montreal Maroons",48,19,18,11,49,117,122,414,NA,"","Lost in round 2",NA,NA
1934,"New York Americans",48,15,23,10,40,104,132,365,NA,"","Out of Playoffs",NA,NA
1934,"Ottawa Senators",48,13,29,6,32,115,143,344,NA,"George ""Buck"" Boucher","Out of Playoffs",NA,NA
1935,"Boston Bruins",48,26,16,6,58,129,112,368,NA,"Frank Patrick","Lost in round 1",NA,NA
1935,"Chicago Blackhawks",48,26,17,5,57,118,88,375,NA,"Clem Loughlin","Lost in round 1",NA,NA
1935,"New York Rangers",48,22,20,6,50,137,139,334,NA,"Lester Patrick","Lost in round 2",NA,NA
1935,"Detroit Red Wings",48,19,22,7,45,127,114,305,NA,"Jack Adams","Out of Playoffs",NA,NA
1935,"Toronto Maple Leafs",48,30,14,4,64,157,111,444,NA,"","Lost in Finals",NA,NA
1935,"Montreal Maroons",48,24,19,5,53,123,92,380,NA,"","Won Championship",NA,NA
1935,"Montreal Canadiens",48,19,23,6,44,110,145,314,NA,"Leo Dandurand","Lost in round 1",NA,NA
1935,"New York Americans",48,12,27,9,33,100,142,250,NA,"","Out of Playoffs",NA,NA
1935,"St. Louis Eagles",48,11,31,6,28,86,144,385,NA,"George ""Buck"" Boucher","Out of Playoffs",NA,NA
1936,"Detroit Red Wings",48,24,16,8,56,124,103,384,NA,"Jack Adams","Won Championship",NA,NA
1936,"Boston Bruins",48,22,20,6,50,92,83,397,NA,"Frank Patrick","Lost in round 1",NA,NA
1936,"Chicago Blackhawks",48,21,19,8,50,93,92,411,NA,"Clem Loughlin","Lost in round 1",NA,NA
1936,"New York Rangers",48,19,17,12,50,91,96,381,NA,"Lester Patrick","Out of Playoffs",NA,NA
1936,"Montreal Maroons",48,22,16,10,54,114,106,504,NA,"","Lost in round 1",NA,NA
1936,"Toronto Maple Leafs",48,23,19,6,52,126,106,579,NA,"","Lost in Finals",NA,NA
1936,"New York Americans",48,16,25,7,39,109,122,392,NA,"Mervyn ""Red"" Dutton","Lost in round 2",NA,NA
1936,"Montreal Canadiens",48,11,26,11,33,82,123,317,NA,"","Out of Playoffs",NA,NA
1937,"Detroit Red Wings",48,25,14,9,59,128,102,244,NA,"Jack Adams","Won Championship",NA,NA
1937,"Boston Bruins",48,23,18,7,53,120,110,303,NA,"Art Ross","Lost in round 1",NA,NA
1937,"New York Rangers",48,19,20,9,47,117,106,312,NA,"Lester Patrick","Lost in Finals",NA,NA
1937,"Chicago Blackhawks",48,14,27,7,35,99,131,291,NA,"Clem Loughlin","Out of Playoffs",NA,NA
1937,"Montreal Canadiens",48,24,18,6,54,115,111,298,NA,"","Lost in round 2",NA,NA
1937,"Montreal Maroons",48,22,17,9,53,126,110,379,NA,"","Out of Playoffs",NA,NA
1937,"Toronto Maple Leafs",48,22,21,5,49,119,115,371,NA,"","Lost in round 1",NA,NA
1937,"New York Americans",48,15,29,4,34,122,161,481,NA,"Mervyn ""Red"" Dutton","Out of Playoffs",NA,NA
1938,"Boston Bruins",48,30,11,7,67,142,89,284,NA,"Art Ross","Lost in round 1",NA,NA
1938,"New York Rangers",48,27,15,6,60,149,96,435,NA,"Lester Patrick","Lost in round 1",NA,NA
1938,"Chicago Blackhawks",48,14,25,9,37,97,139,238,NA,"Bill Stewart","Won Championship",NA,NA
1938,"Detroit Red Wings",48,12,25,11,35,99,133,258,NA,"Jack Adams","Out of Playoffs",NA,NA
1938,"Toronto Maple Leafs",48,24,15,9,57,151,127,404,NA,"Dick Irvin","Lost in Finals",NA,NA
1938,"Montreal Canadiens",48,18,17,13,49,123,128,340,NA,"","Lost in round 1",NA,NA
1938,"New York Americans",48,19,18,11,49,110,111,327,NA,"Mervyn ""Red"" Dutton","Lost in round 2",NA,NA
1938,"Montreal Maroons",48,12,30,6,30,101,149,470,NA,"Francis ""King"" Clancy","Out of Playoffs",NA,NA
1939,"Boston Bruins",48,36,10,2,74,156,76,251,NA,"Art Ross","Won Championship",NA,NA
1939,"New York Rangers",48,26,16,6,58,149,105,393,NA,"Lester Patrick","Lost in round 1",NA,NA
1939,"Toronto Maple Leafs",48,19,20,9,47,114,107,370,NA,"","Lost in Finals",NA,NA
1939,"New York Americans",48,17,21,10,44,119,157,276,NA,"Mervyn ""Red"" Dutton","Lost in round 1",NA,NA
1939,"Detroit Red Wings",48,18,24,6,42,107,128,240,NA,"Jack Adams","Lost in round 2",NA,NA
1939,"Montreal Canadiens",48,15,24,9,39,115,146,294,NA,"Hart, Dugal {+}","Lost in round 1",NA,NA
1939,"Chicago Blackhawks",48,12,28,8,32,91,132,367,NA,"Stewart, Thompson {+}","Out of Playoffs",NA,NA
1940,"Boston Bruins",48,31,12,5,67,170,98,330,10241,"Ralph ""Cooney"" Weiland","Lost in round 1",NA,NA
1940,"New York Rangers",48,27,11,10,64,136,77,520,9997,"Frank Boucher","Won Championship",NA,NA
1940,"Toronto Maple Leafs",48,25,17,6,56,134,110,485,11293,"","Lost in Finals",NA,NA
1940,"Chicago Blackhawks",48,23,19,6,52,112,120,351,11460,"Paul Thompson","Lost in round 1",NA,NA
1940,"Detroit Red Wings",48,16,26,6,38,90,126,250,4480,"Jack Adams","Lost in round 2",NA,NA
1940,"New York Americans",48,15,29,4,34,106,140,236,7121,"Mervyn ""Red"" Dutton","Lost in round 1",NA,NA
1940,"Montreal Canadiens",48,10,33,5,25,90,167,338,5075,"","Out of Playoffs",NA,NA
1941,"Boston Bruins",48,27,8,13,67,168,102,246,10326,"Ralph ""Cooney"" Weiland","Won Championship",NA,NA
1941,"Toronto Maple Leafs",48,28,14,6,62,145,99,306,12240,"Clarence ""Happy"" Day","Lost in round 1",NA,NA
1941,"Detroit Red Wings",48,21,16,11,53,112,102,337,7237,"Jack Adams","Lost in Finals",NA,NA
1941,"New York Rangers",48,21,19,8,50,143,125,356,8498,"Frank Boucher","Lost in round 1",NA,NA
1941,"Chicago Blackhawks",48,16,25,7,39,112,139,335,12013,"Paul Thompson","Lost in round 2",NA,NA
1941,"Montreal Canadiens",48,16,26,6,38,121,147,435,7051,"","Lost in round 1",NA,NA
1941,"New York Americans",48,8,29,11,27,99,186,231,6063,"Mervyn ""Red"" Dutton","Out of Playoffs",NA,NA
1942,"New York Rangers",48,29,17,2,60,177,143,400,NA,"Frank Boucher","Lost in round 1",NA,NA
1942,"Toronto Maple Leafs",48,27,18,3,57,158,136,341,NA,"Clarence ""Happy"" Day","Won Championship",NA,NA
1942,"Boston Bruins",48,25,17,6,56,160,118,349,11186,"Art Ross","Lost in round 2",NA,NA
1942,"Chicago Blackhawks",48,22,23,3,47,145,155,365,NA,"Paul Thompson","Lost in round 1",NA,NA
1942,"Detroit Red Wings",48,19,25,4,42,140,147,440,NA,"Jack Adams","Lost in Finals",NA,NA
1942,"Montreal Canadiens",48,18,27,3,39,134,173,504,NA,"Dick Irvin","Lost in round 1",NA,NA
1942,"Brooklyn Americans",48,16,29,3,35,133,175,425,NA,"Mervyn ""Red"" Dutton","Out of Playoffs",NA,NA
1943,"Detroit Red Wings",50,25,14,11,61,169,124,371,10855,"Jack Adams","Won Championship",NA,NA
1943,"Boston Bruins",50,24,17,9,57,195,176,364,10643,"Art Ross","Lost in Finals",NA,NA
1943,"Toronto Maple Leafs",50,22,19,9,53,198,159,431,11788,"Clarence ""Happy"" Day","Lost in round 1",NA,NA
1943,"Montreal Canadiens",50,19,19,12,50,181,191,318,8449,"","Lost in round 1",NA,NA
1943,"Chicago Blackhawks",50,17,18,15,49,179,180,361,12895,"Paul Thompson","Out of Playoffs",NA,NA
1943,"New York Rangers",50,11,31,8,30,161,253,352,12704,"Frank Boucher","Out of Playoffs",NA,NA
1944,"Montreal Canadiens",50,38,5,7,83,234,109,557,NA,"Dick Irvin","Won Championship",NA,NA
1944,"Detroit Red Wings",50,26,18,6,58,214,177,374,NA,"Jack Adams","Lost in round 1",NA,NA
1944,"Toronto Maple Leafs",50,23,23,4,50,214,174,303,NA,"Clarence ""Happy"" Day","Lost in round 1",NA,NA
1944,"Chicago Blackhawks",50,22,23,5,49,178,187,240,NA,"Paul Thompson","Lost in Finals",NA,NA
1944,"Boston Bruins",50,19,26,5,43,223,268,207,NA,"Art Ross","Out of Playoffs",NA,NA
1944,"New York Rangers",50,6,39,5,17,162,310,253,NA,"Frank Boucher","Out of Playoffs",NA,NA
1945,"Montreal Canadiens",50,38,8,4,80,228,121,376,NA,"","Lost in round 1",NA,NA
1945,"Detroit Red Wings",50,31,14,5,67,218,161,260,NA,"Jack Adams","Lost in Finals",NA,NA
1945,"Toronto Maple Leafs",50,24,22,4,52,183,161,317,NA,"Clarence ""Happy"" Day","Won Championship",NA,NA
1945,"Boston Bruins",50,16,30,4,36,179,219,275,NA,"Art Ross","Lost in round 1",NA,NA
1945,"Chicago Blackhawks",50,13,30,7,33,141,194,245,NA,"Thompson, Gottselig {+}","Out of Playoffs",NA,NA
1945,"New York Rangers",50,11,29,10,32,154,247,305,NA,"Frank Boucher","Out of Playoffs",NA,NA
1946,"Montreal Canadiens",50,28,17,5,61,172,134,337,NA,"Dick Irvin","Won Championship",NA,NA
1946,"Boston Bruins",50,24,18,8,56,167,156,273,13210,"Aubrey ""Dit"" Clapper","Lost in Finals",NA,NA
1946,"Chicago Blackhawks",50,23,20,7,53,200,178,339,16797,"Johnny Gottselig","Lost in round 1",NA,NA
1946,"Detroit Red Wings",50,20,20,10,50,146,159,298,11348,"Jack Adams","Lost in round 1",NA,NA
1946,"Toronto Maple Leafs",50,19,24,7,45,174,185,247,13641,"Clarence ""Happy"" Day","Out of Playoffs",NA,NA
1946,"New York Rangers",50,13,28,9,35,144,191,285,14644,"Frank Boucher","Out of Playoffs",NA,NA
1947,"Montreal Canadiens",60,34,16,10,78,189,138,561,11068,"","Lost in Finals",NA,NA
1947,"Toronto Maple Leafs",60,31,19,10,72,209,172,669,13670,"Clarence ""Happy"" Day","Won Championship",NA,NA
1947,"Boston Bruins",60,26,23,11,63,190,175,463,13093,"Aubrey ""Dit"" Clapper","Lost in round 1",NA,NA
1947,"Detroit Red Wings",60,22,27,11,55,190,193,535,11256,"Jack Adams","Lost in round 1",NA,NA
1947,"New York Rangers",60,22,32,6,50,167,186,426,14327,"Frank Boucher","Out of Playoffs",NA,NA
1947,"Chicago Blackhawks",60,19,37,4,42,193,274,467,16689,"Johnny Gottselig","Out of Playoffs",NA,NA
1948,"Toronto Maple Leafs",60,32,15,13,77,182,143,758,14003,"Clarence ""Happy"" Day","Won Championship",NA,NA
1948,"Detroit Red Wings",60,30,18,12,72,187,148,593,13131,"","Lost in Finals",NA,NA
1948,"Boston Bruins",60,23,24,13,59,167,168,515,13765,"Aubrey ""Dit"" Clapper","Lost in round 1",NA,NA
1948,"New York Rangers",60,21,26,13,55,176,201,480,15568,"Frank Boucher","Lost in round 1",NA,NA
1948,"Montreal Canadiens",60,20,29,11,51,147,169,724,11122,"","Out of Playoffs",NA,NA
1948,"Chicago Blackhawks",60,20,34,6,46,195,225,572,16386,"Gottselig, Conacher {+}","Out of Playoffs",NA,NA
1949,"Detroit Red Wings",60,34,19,7,75,195,145,621,13405,"","Lost in Finals",NA,NA
1949,"Boston Bruins",60,29,23,8,66,178,163,434,13543,"Aubrey ""Dit"" Clapper","Lost in round 1",NA,NA
1949,"Montreal Canadiens",60,28,23,9,65,152,126,782,11209,"","Lost in round 1",NA,NA
1949,"Toronto Maple Leafs",60,22,25,13,57,147,161,706,13914,"Clarence ""Happy"" Day","Won Championship",NA,NA
1949,"Chicago Blackhawks",60,21,31,8,50,173,211,695,16383,"Charlie Conacher","Out of Playoffs",NA,NA
1949,"New York Rangers",60,18,31,11,47,133,172,413,12209,"Frank Boucher","Out of Playoffs",NA,NA
1950,"Detroit Red Wings",70,37,19,14,88,229,164,736,12639,"","Won Championship",NA,NA
1950,"Montreal Canadiens",70,29,22,19,77,172,150,736,13488,"","Lost in round 1",NA,NA
1950,"Toronto Maple Leafs",70,31,27,12,74,176,173,804,13617,"Clarence ""Happy"" Day","Lost in round 1",NA,NA
1950,"New York Rangers",70,28,31,11,67,170,189,639,12495,"Lynn Patrick","Lost in Finals",NA,NA
1950,"Boston Bruins",70,22,32,16,60,198,228,449,11154,"George ""Buck"" Boucher","Out of Playoffs",NA,NA
1950,"Chicago Blackhawks",70,22,38,10,54,203,244,620,13557,"Charlie Conacher","Out of Playoffs",NA,NA
1951,"Detroit Red Wings",70,44,13,13,101,236,139,566,11449,"","Lost in round 1",NA,NA
1951,"Toronto Maple Leafs",70,41,16,13,95,212,138,823,13472,"Joe Primeau","Won Championship",NA,NA
1951,"Montreal Canadiens",70,25,30,15,65,173,184,835,14355,"Dick Irvin","Lost in Finals",NA,NA
1951,"Boston Bruins",70,22,30,18,62,178,197,656,8819,"Lynn Patrick","Lost in round 1",NA,NA
1951,"New York Rangers",70,20,29,21,61,169,201,774,9979,"Neil Colville","Out of Playoffs",NA,NA
1951,"Chicago Blackhawks",70,13,47,10,36,171,280,615,9438,"Ebbie Goodfellow","Out of Playoffs",NA,NA
1952,"Detroit Red Wings",70,44,14,12,100,215,133,694,11996,"","Won Championship",NA,NA
1952,"Montreal Canadiens",70,34,26,10,78,195,164,661,14400,"Dick Irvin","Lost in Finals",NA,NA
1952,"Toronto Maple Leafs",70,29,25,16,74,168,157,841,13353,"","Lost in round 1",NA,NA
1952,"Boston Bruins",70,25,29,16,66,162,176,601,7004,"Lynn Patrick","Lost in round 2",NA,NA
1952,"New York Rangers",70,23,34,13,59,192,219,532,10761,"Colville, Cook {+}","Out of Playoffs",NA,NA
1952,"Chicago Blackhawks",70,17,44,9,43,158,241,627,8495,"Ebbie Goodfellow","Out of Playoffs",NA,NA
1953,"Detroit Red Wings",70,36,16,18,90,222,133,645,12362,"","Lost in round 1",NA,NA
1953,"Montreal Canadiens",70,28,23,19,75,155,148,777,14316,"","Won Championship",NA,NA
1953,"Boston Bruins",70,28,29,13,69,152,172,528,8438,"Lynn Patrick","Lost in Finals",NA,NA
1953,"Chicago Blackhawks",70,27,28,15,69,169,175,736,11925,"Sid Abel","Lost in round 1",NA,NA
1953,"Toronto Maple Leafs",70,27,30,13,67,156,167,812,13221,"","Out of Playoffs",NA,NA
1953,"New York Rangers",70,17,37,16,50,152,211,548,8727,"Bill Cook","Out of Playoffs",NA,NA
1954,"Detroit Red Wings",70,37,19,14,88,191,132,814,11807,"Tommy Ivan","Won Championship",NA,NA
1954,"Montreal Canadiens",70,35,24,11,81,195,141,1064,14383,"","Lost in Finals",NA,NA
1954,"Toronto Maple Leafs",70,32,24,14,78,152,131,1022,13121,"Francis ""King"" Clancy","Lost in round 1",NA,NA
1954,"Boston Bruins",70,32,28,10,74,177,181,685,9296,"Lynn Patrick","Lost in round 1",NA,NA
1954,"New York Rangers",70,29,31,10,68,161,182,717,10846,"Boucher, Patrick {+}","Out of Playoffs",NA,NA
1954,"Chicago Blackhawks",70,12,51,7,31,133,242,797,6574,"Sid Abel","Out of Playoffs",NA,NA
1955,"Detroit Red Wings",70,42,17,11,95,204,134,827,11589,"Jim Skinner","Won Championship",NA,NA
1955,"Montreal Canadiens",70,41,18,11,93,228,157,890,14287,"","Lost in Finals",NA,NA
1955,"Toronto Maple Leafs",70,24,24,22,70,147,135,990,12980,"Francis ""King"" Clancy","Lost in round 1",NA,NA
1955,"Boston Bruins",70,23,26,21,67,169,188,863,9468,"Patrick, Schmidt {+}","Lost in round 1",NA,NA
1955,"New York Rangers",70,17,35,18,52,150,210,690,8936,"Murray ""Muzz"" Patrick","Out of Playoffs",NA,NA
